Quarter,Time,Down,ToGo,Location,Detail,SFO,GNB,EPB,EPA
1,15:00,,,SFO 35,Robbie Gould kicks off 49 yards returned by Amari Rodgers for 15 yards (tackle by Demetrius Flannigan-Fowles),0,0,0.000,1.000
1,14:56,1,10,GNB 31,Aaron Jones up the middle for 4 yards (tackle by D.J. Jones),0,0,1.000,1.000
1,14:22,2,6,GNB 35,Aaron Rodgers pass complete short right to Davante Adams for 14 yards (tackle by Dontae Johnson),0,0,1.000,2.190
1,13:46,1,10,GNB 49,Aaron Jones up the middle for -1 yards (tackle by Fred Warner),0,0,2.190,1.510
1,13:03,2,11,GNB 48,Aaron Rodgers pass complete short right to Aaron Jones for 19 yards (tackle by Fred Warner and Dre Greenlaw),0,0,1.510,3.380
1,12:18,1,10,SFO 33,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,0,0,3.380,2.840
1,12:15,2,10,SFO 33,Aaron Rodgers pass complete short middle to Davante Adams for 10 yards (tackle by Dontae Johnson),0,0,2.840,4.040
1,11:30,1,10,SFO 23,Equanimeous St. Brown right end for 1 yard (tackle by Nick Bosa),0,0,4.040,3.630
1,10:53,2,9,SFO 22,Aaron Rodgers pass complete short middle to Davante Adams for 11 yards (tackle by K'Waun Williams),0,0,3.630,4.840
1,10:10,1,10,SFO 11,AJ Dillon right guard for 5 yards (tackle by Arik Armstead and Dontae Johnson),0,0,4.840,5.080
1,9:30,2,5,SFO 6,AJ Dillon up the middle for 6 yards touchdown,0,6,5.080,7.000
1,9:25,,,SFO 15,Mason Crosby kicks extra point good,0,7,0.000,0.000
1,9:25,,,GNB 35,Mason Crosby kicks off 57 yards returned by Jamycal Hasty for 32 yards (tackle by Rasul Douglas),0,7,0.000,1.600
1,9:20,1,10,SFO 40,Elijah Mitchell left end for 1 yard (tackle by Kenny Clark and Preston Smith),0,7,1.600,1.190
1,8:42,2,9,SFO 41,Penalty on Daniel Brunskill: False Start 5 yards (accepted) (no play),0,7,1.190,0.510
1,8:22,2,14,SFO 36,Deebo Samuel up the middle for 2 yards (tackle by Preston Smith and Dean Lowry),0,7,0.510,0.100
1,7:36,3,12,SFO 38,Jimmy Garoppolo sacked by Za'Darius Smith for -9 yards,0,7,0.100,-1.440
1,6:56,4,21,SFO 29,Mitch Wishnowsky punts 46 yards downed by River Cracraft,0,7,-1.440,-0.610
